enticve1,sexostt,sexos1,sexos2,descrip
18,1676,1484,192,No identificado
18,NA,NA,NA,No especificado
19,3547,3185,362,18 a 24 años
19,3006,2700,306,25 a 29 años
19,2789,2509,280,30 a 34 años
19,2227,1998,229,35 a 39 años
19,1573,1389,184,40 a 44 años
19,1079,953,126,45 a 49 años
19,637,542,95,50 a 54 años
19,359,307,52,55 a 59 años
19,370,328,42,60 años o más
19,28,23,5,No identificado
19,NA,NA,NA,No especificado
20,4,2,2,18 a 24 años
20,15,0,15,25 a 29 años
20,89,0,89,30 a 34 años
20,549,521,28,35 a 39 años
20,89,89,0,40 a 44 años
20,61,56,5,45 a 49 años
20,101,101,0,50 a 54 años
20,3,3,0,55 a 59 años
20,NSS,NSS,NSS,60 años o más
20,39,39,0,No identificado
20,NA,NA,NA,No especificado
21,569,521,48,18 a 24 años
21,404,364,40,25 a 29 años
21,339,295,44,30 a 34 años
21,235,209,26,35 a 39 años
21,194,170,24,40 a 44 años
21,132,111,21,45 a 49 años
21,77,67,10,50 a 54 años
21,44,39,5,55 a 59 años
21,51,40,11,60 años o más
21,4478,3790,688,No identificado
21,NA,NA,NA,No especificado
22,431,391,40,18 a 24 años
22,449,415,34,25 a 29 años
22,384,355,29,30 a 34 años
22,299,278,21,35 a 39 años
22,197,179,18,40 a 44 años
22,155,139,16,45 a 49 años
22,97,87,10,50 a 54 años
22,45,39,6,55 a 59 años
22,51,46,5,60 años o más
22,1087,979,108,No identificado
22,NA,NA,NA,No especificado
23,180,168,12,18 a 24 años
23,160,147,13,25 a 29 años
23,119,110,9,30 a 34 años
23,98,91,7,35 a 39 años
23,75,62,13,40 a 44 años
23,65,58,7,45 a 49 años
23,32,30,2,50 a 54 años
23,21,17,4,55 a 59 años
23,24,22,2,60 años o más
23,2469,2167,302,No identificado
23,NA,NA,NA,No especificado
24,41,37,4,18 a 24 años
24,49,46,3,25 a 29 años
24,49,46,3,30 a 34 años
24,38,35,3,35 a 39 años
24,20,17,3,40 a 44 años
24,24,18,6,45 a 49 años
24,13,12,1,50 a 54 años
24,6,5,1,55 a 59 años
24,15,14,1,60 años o más
24,984,901,83,No identificado
24,NA,NA,NA,No especificado
25,181,169,12,18 a 24 años
25,265,241,24,25 a 29 años
25,299,259,40,30 a 34 años
25,267,236,31,35 a 39 años
25,233,209,24,40 a 44 años
25,170,158,12,45 a 49 años
25,122,106,16,50 a 54 años
25,107,91,16,55 a 59 años
25,91,85,6,60 años o más
25,821,730,91,No identificado
25,NA,NA,NA,No especificado
26,1735,1632,103,18 a 24 años
26,1779,1636,143,25 a 29 años
26,1646,1518,128,30 a 34 años
26,1394,1275,119,35 a 39 años
26,1066,977,89,40 a 44 años
26,749,698,51,45 a 49 años
26,474,416,58,50 a 54 años
26,231,210,21,55 a 59 años
26,204,169,35,60 años o más
26,4448,4010,438,No identificado
26,NA,NA,NA,No especificado
27,153,147,6,18 a 24 años
27,143,127,16,25 a 29 años
27,147,138,9,30 a 34 años
27,129,117,12,35 a 39 años
27,136,118,18,40 a 44 años
27,95,83,12,45 a 49 años
27,68,60,8,50 a 54 años
27,33,31,2,55 a 59 años
27,56,49,7,60 años o más
27,5417,4854,563,No identificado
27,NA,NA,NA,No especificado
28,0,0,0,18 a 24 años
28,0,0,0,25 a 29 años
28,0,0,0,30 a 34 años
28,0,0,0,35 a 39 años
28,0,0,0,40 a 44 años
28,0,0,0,45 a 49 años
28,0,0,0,50 a 54 años
28,0,0,0,55 a 59 años
28,0,0,0,60 años o más
28,2368,1963,405,No identificado
28,NA,NA,NA,No especificado
29,210,196,14,18 a 24 años
29,198,174,24,25 a 29 años
29,174,155,19,30 a 34 años
29,165,148,17,35 a 39 años
29,119,102,17,40 a 44 años
29,71,64,7,45 a 49 años
29,53,43,10,50 a 54 años
29,26,18,8,55 a 59 años
29,33,21,12,60 años o más
29,456,373,83,No identificado
29,NA,NA,NA,No especificado
30,496,434,62,18 a 24 años
30,424,367,57,25 a 29 años
30,414,372,42,30 a 34 años
30,325,271,54,35 a 39 años
30,243,204,39,40 a 44 años
30,199,173,26,45 a 49 años
30,162,143,19,50 a 54 años
30,89,79,10,55 a 59 años
30,111,91,20,60 años o más
30,5073,4271,802,No identificado
30,NA,NA,NA,No especificado
31,151,135,16,18 a 24 años
31,169,149,20,25 a 29 años
31,161,143,18,30 a 34 años
31,147,131,16,35 a 39 años
31,95,85,10,40 a 44 años
31,79,70,9,45 a 49 años
31,62,52,10,50 a 54 años
31,44,40,4,55 a 59 años
31,62,50,12,60 años o más
31,410,354,56,No identificado
31,NA,NA,NA,No especificado
